[00.00s -> 10.00s]  Section 2 You will hear a hotel clerk give a talk to some new employees about the hotel facilities.
[10.00s -> 16.00s]  First, you have some time to read through questions 8 to 11.
[30.00s -> 42.00s]  Now listen carefully and answer questions 8 to 11.
[42.00s -> 52.00s]  Hello there. Nice to meet you both. My name is William and I'll be doing your training here at the Castle Hill Hotel for the next few days.
[52.00s -> 60.00s]  Anyway, first I'll tell you a bit about the building and facilities and then we'll meet some of the other staff working here.
[60.00s -> 66.00s]  So, the hotel was constructed a century ago, but has been through numerous renovations.
[66.00s -> 72.00s]  We're outside the main entrance now and if you go in, you'll see the reception desk.
[72.00s -> 78.00s]  Behind that, on the left side of the lobby, you'll see the lifts which lead up to our other five floors.
[78.00s -> 89.00s]  Right next to that is Ms Loblaw's office. She's the hotel manager and if you ever need to speak with her, just go to reception to see if she is free.
[89.00s -> 94.00s]  Now, if you turn right at the reception desk, there is a short corridor.
[94.00s -> 99.00s]  If you go down the corridor, the entrance on the left leads to the hotel's restaurant.
[99.00s -> 104.00s]  Inside, you'll see a stairway that leads up to the kitchen facilities.
[104.00s -> 109.00s]  The restaurant is where you can eat your complimentary buffet breakfast.
[109.00s -> 116.00s]  The hotel also has a hotel porter's office, which is the first door on the left-hand side of the main entrance.
[116.00s -> 122.00s]  Also, you'll see a second doorway once you're in the porter's office that leads to the baggage storage area.
[122.00s -> 128.00s]  Guests arriving early or leaving late can store their belongings there for short periods.
[128.00s -> 132.00s]  One new addition to our hotel has been the event room.
[132.00s -> 139.00s]  If you just turn right from the reception desk, it's the first door on the right before you head down the corridor.
[139.00s -> 141.00s]  It is opposite the lounge.
[141.00s -> 150.00s]  We hold special events or meals for guests there and that's where we also have staff meetings, readings or book club gatherings.
[150.00s -> 157.00s]  Now, if you follow me, we will first head to...
[157.00s -> 161.00s]  You now have 15 seconds to check your answers.
