[00.00s -> 09.00s]  Section 2 You will hear a tour guide explaining the attractions of a wildlife park to visitors.
[09.00s -> 29.00s]  First, you have some time to read through questions 5 to 7.
[29.00s -> 36.00s]  Now listen carefully and answer questions 5 to 7.
[36.00s -> 42.00s]  Before we begin, I'll give you a short explanation of our itinerary this morning.
[42.00s -> 48.00s]  Please look at the park map on the wall and you'll see that we are now at the main entrance.
[48.00s -> 56.00s]  As we enter the park, we will follow the footpath which will lead us to all of Hemsworth Park's major attractions.
[56.00s -> 64.00s]  At each attraction, we will view the animals in our care and I'll offer you short explanations on some of the wildlife we have.
[64.00s -> 76.00s]  First, you'll see Big Cat Country on the right hand side which is where we house a selection of wild cats including cougars, cheetahs and panthers.
[76.00s -> 82.00s]  Then, on the opposite side of the footpath from Big Cat Country is Bear Mountain.
[82.00s -> 86.00s]  We currently have black, brown and grizzly bears at this attraction.
[86.00s -> 95.00s]  From there, walking east on the footpath, we will arrive at the African Zone which is our smallest animal attraction.
[95.00s -> 101.00s]  You'll be able to get up close to giraffes, zebras and gazelles at this location.
[101.00s -> 106.00s]  At this point, the footpath splits into two directions.
[106.00s -> 114.00s]  We will take the northern route and head to the primate zone where you can observe chimps, monkeys and baboons.
[114.00s -> 119.00s]  After that, we will return to the split in the footpath and take the southern route.
[119.00s -> 123.00s]  On the right hand side is the park's elephant zone.
[123.00s -> 129.00s]  We currently have three of them in our care and you can check out the audio visual displays of them as well.
[129.00s -> 134.00s]  Once we have finished there, you'll have some free time to explore for yourself.
[134.00s -> 144.00s]  Now, over on the east side of the park, you can see this circular shape which is our large pond and to its left is a small forest.
[144.00s -> 153.00s]  There are lots of walking trails in this area that you can explore and these two triangular shapes here are the park's bird garden.
[153.00s -> 161.00s]  There are two connected enclosures that contain a variety of tropical birds and it is also next to the park's exit
[161.00s -> 165.00s]  so it might be a good idea to make that your final destination.
[165.00s -> 175.00s]  Naturally, you are also free to go back and explore all the other areas of the park following the tour.
[175.00s -> 179.00s]  You now have 15 seconds to check your answers.
[191.00s -> 195.00s]  Thank you for watching.
